schemaname,tablename
public,activity_feed
public,activity_logs
public,admin_users
public,alert_instances
public,alert_rules
public,analytics_events
public,api_keys
public,api_rate_limits
public,api_request_logs
public,auto_provisioning
public,background_jobs
public,billing_history
public,booking_availability_cache
public,booking_holds
public,bookings
public,business_hours
public,business_metrics
public,cuisine_types
public,database_metrics
public,departments
public,diagnostic_results
public,dns_records
public,dns_templates
public,domain_analytics
public,domain_events
public,domain_health_checks
public,domains
public,employee_invitations
public,employees
public,error_logs
public,event_outbox
public,incident_updates
public,incidents
public,job_schedules
public,maintenance_windows
public,notification_queue
public,operation_rate_limits
public,party_size_configs
public,password_reset_audit_log
public,password_reset_codes
public,password_reset_rate_limits
public,payment_reminders
public,performance_trends
public,pos_configurations
public,pos_events
public,pos_health_checks
public,pos_integrations
public,pos_menu_items
public,pos_providers
public,pos_webhook_logs
public,pricing_plans
public,profiles
public,provisioning_runs
public,provisioning_steps
public,rate_limits
public,request_traces
public,resource_usage
public,restaurant_tables
public,security_events
public,security_rate_limits
public,service_health
public,service_health_checks
public,service_health_status
public,services
public,sla_metrics
public,ssl_certificates
public,staff_invitations
public,subscribers
public,subscriptions
public,support_attachments
public,support_categories
public,support_ticket_messages
public,support_tickets
public,system_health_metrics
public,system_metrics
public,tenant_cache_config
public,tenant_features
public,tenant_plans
public,tenant_settings
public,tenant_users
public,tenants
public,user_sessions
public,webhook_endpoints
public,webhook_logs
public,websocket_connections
public,widget_configs
